CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,1,19,15,39,2
2,1,21,15,81,2
3,0,20,16,6,3
4,0,23,16,77,2
5,0,31,17,40,2
6,0,22,17,76,2
7,0,35,18,6,3
8,0,23,18,94,2
9,1,64,19,3,0
10,0,30,19,72,2
11,1,67,19,14,0
12,0,35,19,99,2
13,0,58,20,15,0
14,0,24,20,77,2
15,1,37,20,13,3
16,1,22,20,79,2
17,0,35,21,35,3
18,1,20,21,66,2
19,1,52,23,29,0
20,0,35,23,98,2
21,1,35,24,35,3
22,1,25,24,73,2
23,0,46,25,5,0
24,1,31,25,73,2
25,0,54,28,14,0
26,1,29,28,82,2
27,0,45,28,32,0
28,1,35,28,61,2
29,0,40,29,31,0
30,0,23,29,87,2
31,1,60,30,4,0
32,0,21,30,73,2
33,1,53,33,4,0
34,1,18,33,92,2
35,0,49,33,14,0
36,0,21,33,81,2
37,0,42,34,17,0
38,0,30,34,73,2
39,0,36,37,26,3
40,0,20,37,75,2
41,0,65,38,35,0
42,1,24,38,92,2
43,1,48,39,36,0
44,0,31,39,61,2
45,0,49,39,28,0
46,0,24,39,65,2
47,0,50,40,55,0
48,0,27,40,47,3
49,0,29,40,42,3
50,0,31,40,42,3
51,0,49,42,52,0
52,1,33,42,60,2
53,0,31,43,54,3
54,1,59,43,60,0
55,0,50,43,45,0
56,1,47,43,41,0
57,0,51,44,50,0
58,1,69,44,46,0
59,0,27,46,51,3
60,1,53,46,46,0
61,1,70,46,56,0
62,1,19,46,55,3
63,0,67,47,52,0
64,0,54,47,59,0
65,1,63,48,51,0
66,1,18,48,59,3
67,0,43,48,50,0
68,0,68,48,48,0
69,1,19,48,59,3
70,0,32,48,47,3
71,1,70,49,55,0
72,0,47,49,42,0
73,0,60,50,49,0
74,0,60,50,56,0
75,1,59,54,47,0
76,1,26,54,54,3
77,0,45,54,53,0
78,1,40,54,48,3
79,0,23,54,52,3
80,0,49,54,42,0
81,1,57,54,51,0
82,1,38,54,55,3
83,1,67,54,41,0
84,0,46,54,44,0
85,0,21,54,57,3
86,1,48,54,46,0
87,0,55,57,58,0
88,0,22,57,55,3
89,0,34,58,60,3
90,0,50,58,46,0
91,0,68,59,55,0
92,1,18,59,41,3
93,1,48,60,49,0
94,0,40,60,40,3
95,0,32,60,42,3
96,1,24,60,52,3
97,0,47,60,47,0
98,0,27,60,50,3
99,1,48,61,42,0
100,1,20,61,49,3
101,0,23,62,41,3
102,0,49,62,48,0
103,1,67,62,59,0
104,1,26,62,55,3
105,1,49,62,56,0
106,0,21,62,42,3
107,0,66,63,50,0
108,1,54,63,46,0
109,1,68,63,43,0
110,1,66,63,48,0
111,1,65,63,52,0
112,0,19,63,54,3
113,0,38,64,42,3
114,1,19,64,46,3
115,0,18,65,48,3
116,0,19,65,50,3
117,0,63,65,43,0
118,0,49,65,59,0
119,0,51,67,43,0
120,0,50,67,57,0
121,1,27,67,56,3
122,0,38,67,40,3
123,0,40,69,58,1
124,1,39,69,91,1
125,0,23,70,29,3
126,0,31,70,77,1
127,1,43,71,35,4
128,1,40,71,95,1
129,1,59,71,11,4
130,1,38,71,75,1
131,1,47,71,9,4
132,1,39,71,75,1
133,0,25,72,34,3
134,0,31,72,71,1
135,1,20,73,5,3
136,0,29,73,88,1
137,0,44,73,7,4
138,1,32,73,73,1
139,1,19,74,10,3
140,0,35,74,72,1
141,0,57,75,5,4
142,1,32,75,93,1
143,0,28,76,40,3
144,0,32,76,87,1
145,1,25,77,12,3
146,1,28,77,97,1
147,1,48,77,36,4
148,0,32,77,74,1
149,0,34,78,22,4
150,1,34,78,90,1
151,1,43,78,17,4
152,1,39,78,88,1
153,0,44,78,20,4
154,0,38,78,76,1
155,0,47,78,16,4
156,0,27,78,89,1
157,1,37,78,1,4
158,0,30,78,78,1
159,1,34,78,1,4
160,0,30,78,73,1
161,0,56,79,35,4
162,0,29,79,83,1
163,1,19,81,5,3
164,0,31,81,93,1
165,1,50,85,26,4
166,0,36,85,75,1
167,1,42,86,20,4
168,0,33,86,95,1
169,0,36,87,27,4
170,1,32,87,63,1
171,1,40,87,13,4
172,1,28,87,75,1
173,1,36,87,10,4
174,1,36,87,92,1
175,0,52,88,13,4
176,0,30,88,86,1
177,1,58,88,15,4
178,1,27,88,69,1
179,1,59,93,14,4
180,1,35,93,90,1
181,0,37,97,32,4
182,0,32,97,86,1
183,1,46,98,15,4
184,0,29,98,88,1
185,0,41,99,39,4
186,1,30,99,97,1
187,0,54,101,24,4
188,1,28,101,68,1
189,0,41,103,17,4
190,0,36,103,85,1
191,0,34,103,23,4
192,0,32,103,69,1
193,1,33,113,8,4
194,0,38,113,91,1
195,0,47,120,16,4
196,0,35,120,79,1
197,0,45,126,28,4
198,1,32,126,74,1
199,1,32,137,18,4
200,1,30,137,83,1
